URL,License,Study,DOI,Date added
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0054A/5025553.zarr,CC BY 4.0,idr0054,,2022-06-03
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0076A/10501752.zarr,CC BY 4.0,idr0076,,2022-06-21
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0047A/4496763.zarr,CC BY 4.0,idr0047,,2022-06-21
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0062A/6001240.zarr,CC BY 4.0,idr0062,,2022-06-21
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0052A/5514375.zarr,CC BY 4.0,idr0052,,2022-06-21
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0001A/2551.zarr,CC BY 4.0,idr0001,,2022-07-06
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0101A/13457227.zarr,CC BY 4.0,idr0101,,2022-10-13
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0101A/13457537.zarr,CC BY 4.0,idr0101,,2022-10-13
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0101A/13457539.zarr,CC BY 4.0,idr0101,,2022-10-13
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0048A/9846151.zarr/,CC BY 4.0,idr0048,,2023-01-12
https://uk1s3.embassy.ebi.ac.uk/idr/zarr/v0.4/idr0048A/9846152.zarr/,CC BY 4.0,idr0048,,2023-01-12